,movie_id,genre_id,genre,new_genre_id,new_movie_id
3865,49730,27,Horror,12,298
3866,9306,14,Fantasy,2,570
3867,9306,878,Science Fiction,3,570
3868,9306,27,Horror,12,570
3869,18937,14,Fantasy,2,1282
3870,18937,18,Drama,5,1282
3871,18937,16,Animation,7,1282
3872,18937,10751,Family,8,1282
3873,18937,10749,Romance,11,1282
3874,2687,14,Fantasy,2,2747
3875,2687,878,Science Fiction,3,2747
3876,2687,35,Comedy,10,2747
3877,24420,14,Fantasy,2,2778
3878,24420,18,Drama,5,2778
3879,24420,10749,Romance,11,2778
3880,11979,14,Fantasy,2,1693
3881,11979,18,Drama,5,1693
3882,11979,27,Horror,12,1693
3883,35019,14,Fantasy,2,2122
3884,35019,35,Comedy,10,2122
3885,14442,14,Fantasy,2,2350
3886,14442,10751,Family,8,2350
3887,14442,35,Comedy,10,2350
3888,8967,14,Fantasy,2,2570
3889,8967,18,Drama,5,2570
3890,9616,14,Fantasy,2,726
3891,9616,18,Drama,5,726
3892,9616,53,Thriller,6,726
3893,9616,10749,Romance,11,726
3894,9616,27,Horror,12,726
3895,9616,9648,Mystery,13,726
3896,14113,14,Fantasy,2,2270
3897,14113,10751,Family,8,2270
3898,14113,35,Comedy,10,2270
3899,10719,14,Fantasy,2,1276
3900,10719,10751,Family,8,1276
3901,10719,35,Comedy,10,1276
3902,9294,14,Fantasy,2,2445
3903,9294,878,Science Fiction,3,2445
3904,9294,18,Drama,5,2445
3905,9294,10749,Romance,11,2445
3906,2907,14,Fantasy,2,1395
3907,2907,35,Comedy,10,1395
3908,2907,27,Horror,12,1395
3909,9598,14,Fantasy,2,717
3910,9598,18,Drama,5,717
3911,9598,10751,Family,8,717
3912,9598,35,Comedy,10,717
3913,10096,14,Fantasy,2,983
3914,10096,35,Comedy,10,983
3915,10096,10749,Romance,11,983
3916,59436,14,Fantasy,2,1086
3917,59436,35,Comedy,10,1086
3918,59436,10749,Romance,11,1086
3919,3933,14,Fantasy,2,1743
3920,3933,16,Animation,7,1743
3921,3933,10749,Romance,11,1743
3922,3933,10402,Music,16,1743
3923,293863,14,Fantasy,2,2569
3924,293863,18,Drama,5,2569
3925,293863,10749,Romance,11,2569
3926,1262,14,Fantasy,2,646
3927,1262,18,Drama,5,646
3928,1262,35,Comedy,10,646
3929,1262,10749,Romance,11,646
3930,10658,14,Fantasy,2,1246
3931,10658,878,Science Fiction,3,1246
3932,10658,35,Comedy,10,1246
3933,9667,14,Fantasy,2,752
3934,9667,18,Drama,5,752
3935,9667,53,Thriller,6,752
3936,9667,9648,Mystery,13,752
3937,10439,14,Fantasy,2,1155
3938,10439,10751,Family,8,1155
